achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a263687/served-up-achievement,Served Up,Get a killing blow as Ashe on an enemy knocked into the air by B.O.B. in Quick or Competitive Play.,26 Mar 23,(15),47,3.16
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374830/by-candlelight-achievement,By candlelight,Finished chapter 1 in the dinner room,12 Jan 23,(40),53,1.33
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374827/historian-senior-achievement,Historian Senior,Interacted with at least 7 verifiable items,12 Jan 23,(20),30,1.51
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374815/party-member-achievement,Party Member,Drank for the first time,12 Jan 23,(20),27,1.37
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374824/curious-achievement,Curious,Opened at least one drawer,12 Jan 23,(20),26,1.32
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374819/sweet-tooth-achievement,Sweet Tooth,Ate for the first time,12 Jan 23,(20),28,1.4
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374807/best-place-in-the-house-achievement,Best place in the house,Had entered the dinner room,12 Jan 23,(20),26,1.31
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374809/the-pin-of-time-achievement,The Pin of Time,Collected pin 1 of the key,12 Jan 23,(30),39,1.31
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374802/lazy-achievement,Lazy,"Tried to run, but it' didn't make it",12 Jan 23,(20),22,1.1
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374801/vain-achievement,Vain,Changed cell phone's wallpaper,12 Jan 23,(30),35,1.17
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374800/employee-of-the-month-achievement,Employee of the Month,Accessed the company's app,12 Jan 23,(30),32,1.07
