achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391509/ne-plus-ultra-achievement,Ne Plus Ultra,Loot your first unrivaled item.,04 May 23,(17),17,1.02
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391519/i-like-my-stakes-rare-achievement,I Like My Stakes Rare!,Stake your first vampire.,04 May 23,(10),10,1.01
https://www.trueachievements.com/game/Goat-Simulator/achievements,https://www.trueachievements.com/a200134/goat-queen-achievement,Goat Queen,Become the Queen of Goat Ville,05 Apr 23,(30),36,1.21
https://www.trueachievements.com/game/Genesis-Noir/achievements,https://www.trueachievements.com/a322913/not-alone-achievement,Not Alone,Made the lonely choice,05 Mar 23,(80),114,1.42
https://www.trueachievements.com/game/Genesis-Noir/achievements,https://www.trueachievements.com/a322912/free-will-achievement,Free Will,Saw the End.,05 Mar 23,(70),95,1.37
https://www.trueachievements.com/game/DEATH-STRANDING/achievements,https://www.trueachievements.com/a368278/giver-of-gifts-achievement,Giver of Gifts,"Make your first donation of weapons, equipment, etc.",03 Mar 23,(10),19,1.92
https://www.trueachievements.com/game/DEATH-STRANDING/achievements,https://www.trueachievements.com/a368307/building-bridges-achievement,Building Bridges,Reach Bridge Link Grade 1.,03 Mar 23,(10),15,1.54
https://www.trueachievements.com/game/DEATH-STRANDING/achievements,https://www.trueachievements.com/a368289/prominent-porter-achievement,Prominent Porter,Reach Grade 10 in any delivery evaluation category.,25 Feb 23,(10),14,1.49
https://www.trueachievements.com/game/DEATH-STRANDING/achievements,https://www.trueachievements.com/a368270/a-new-day-for-the-uca-achievement,A New Day for the UCA,Connect your first new affiliate to the UCA.,25 Feb 23,(10),13,1.38
https://www.trueachievements.com/game/DEATH-STRANDING/achievements,https://www.trueachievements.com/a368288/a-baby-blessing-achievement,A Baby Blessing,Get a Like from BB.,25 Feb 23,(10),14,1.48
https://www.trueachievements.com/game/DEATH-STRANDING/achievements,https://www.trueachievements.com/a368293/boots-are-a-porters-best-friend-achievement,Boots Are a Porter's Best Friend,Change footwear for the first time.,25 Feb 23,(10),16,1.69
https://www.trueachievements.com/game/DEATH-STRANDING/achievements,https://www.trueachievements.com/a368268/apprentice-builder-achievement,Apprentice Builder,"Complete your first structure (signs, ladders, and climbing anchors also count.)",25 Feb 23,(10),13,1.37
https://www.trueachievements.com/game/DEATH-STRANDING/achievements,https://www.trueachievements.com/a368248/rebuilding-america-achievement,Rebuilding America,Complete Episode 1: Bridget.,17 Feb 23,(10),12,1.22
https://www.trueachievements.com/game/DEATH-STRANDING/achievements,https://www.trueachievements.com/a368274/like-and-be-liked-achievement,Like and Be Liked,Give your first Like.,17 Feb 23,(10),12,1.2
https://www.trueachievements.com/game/DEATH-STRANDING/achievements,https://www.trueachievements.com/a368304/i-couldnt-hold-it-in-achievement,I Couldn't Hold it In!,Pee outside for the first time.,17 Feb 23,(10),16,1.66
https://www.trueachievements.com/game/DEATH-STRANDING/achievements,https://www.trueachievements.com/a368247/delivering-is-what-i-do-achievement,Delivering Is What I Do,Complete the prologue: Porter.,16 Feb 23,(10),10,1.0
https://www.trueachievements.com/game/DEATH-STRANDING/achievements,https://www.trueachievements.com/a368277/good-samaritan-achievement,Good Samaritan,Deliver your first piece of lost cargo.,16 Feb 23,(10),10,1.01
https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,https://www.trueachievements.com/a340683/spendthrift-achievement,Spendthrift,Make a purchase in the Shop.,08 Feb 23,(10),16,1.61
https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,https://www.trueachievements.com/a340687/a-good-start-achievement,A good start…,Complete the Unleashed Goal of one Race Pad.,08 Feb 23,(15),20,1.35
https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,https://www.trueachievements.com/a340688/welcome-to-the-basement-achievement,Welcome to the Basement,Win a Quick Race on any track in the Basement (not unlockable in Split Screen mode).,08 Feb 23,(15),19,1.31
https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,https://www.trueachievements.com/a340689/firsttimer-achievement,First-timer,Complete the tutorial.,08 Feb 23,(10),10,1.03
https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,https://www.trueachievements.com/a340690/go-beyond-limits-achievement,Go beyond limits,Win a Quick Race on any track in the Skatepark (not unlockable in Split Screen mode).,08 Feb 23,(15),17,1.18
https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,https://www.trueachievements.com/a340691/first-is-free-achievement,First is free,Open your first Blind Box.,08 Feb 23,(15),15,1.0
https://www.trueachievements.com/game/Genesis-Noir/achievements,https://www.trueachievements.com/a322911/singularity-achievement,Singularity,Third degree burns.,05 Feb 23,(70),95,1.36
https://www.trueachievements.com/game/Genesis-Noir/achievements,https://www.trueachievements.com/a354902/reveal-achievement,Reveal,Photographed from afar.,05 Feb 23,(70),135,1.93
