achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/PGR-4/achievements,https://www.trueachievements.com/a10140/numero-uno-achievement,Numero Uno,Reach Rank Number One on the Single Player Career Drivers' Leaderboard.,12 Jun 14,(50),,"Numero Uno
Reach Rank Number One on the Single Player Career Drivers' Leaderboard."
https://www.trueachievements.com/game/PGR-4/achievements,https://www.trueachievements.com/a10133/tonight-make-me-unstoppable-achievement,Tonight Make Me Unstoppable,Puzzle #3,12 Jun 14,(5),,"Tonight Make Me Unstoppable
Puzzle #3"
https://www.trueachievements.com/game/Tron-Evolution/achievements,https://www.trueachievements.com/a77589/warming-up-achievement,Warming Up,Get a 5X Hit multiplier,24 May 14,(5),,"Warming Up
Get a 5X Hit multiplier"
https://www.trueachievements.com/game/Tron-Evolution/achievements,https://www.trueachievements.com/a77586/unstoppable-achievement,Unstoppable,Derezzed 10 enemies before dying,24 May 14,(30),,"Unstoppable
Derezzed 10 enemies before dying"
https://www.trueachievements.com/game/Tron-Evolution/achievements,https://www.trueachievements.com/a77579/please-come-again-achievement,Please come again,Bought your first upgrade,24 May 14,(5),,"Please come again
Bought your first upgrade"
https://www.trueachievements.com/game/Tron-Evolution/achievements,https://www.trueachievements.com/a77592/what-kind-of-program-is-he-achievement,What kind of program is he?,Gained a Version (Level) for the first time,24 May 14,(5),,"What kind of program is he?
Gained a Version (Level) for the first time"
https://www.trueachievements.com/game/Tron-Evolution/achievements,https://www.trueachievements.com/a77564/greetings-program-achievement,"Greetings, program!",Completed the Tutorial,24 May 14,(20),,"Greetings, program!
Completed the Tutorial"
https://www.trueachievements.com/game/Tron-Evolution/achievements,https://www.trueachievements.com/a77575/look-what-i-found-achievement,Look what I found!,Collected your first Tron File,24 May 14,(5),,"Look what I found!
Collected your first Tron File"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a181000/all-or-nothing-achievement,All or nothing,"Gather the troops. (Complete ""All or Nothing"" on any difficulty.)",13 May 14,(20),,"All or nothing
Gather the troops. (Complete ""All or Nothing"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180998/sin-city-achievement,Sin City,"Plan your next move. (Complete ""Sin City"" on any difficulty.)",13 May 14,(20),,"Sin City
Plan your next move. (Complete ""Sin City"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180996/end-of-the-line-achievement,End of the Line,"Storm the factory (Complete ""End of the Line"" on any difficulty.)",12 May 14,(20),,"End of the Line
Storm the factory (Complete ""End of the Line"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180997/cog-in-the-machine-achievement,Cog in the machine,Kill 5 enemies without being detected before infiltrating Black Zone.,12 May 14,(35),,"Cog in the machine
Kill 5 enemies without being detected before infiltrating Black Zone."
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180994/into-the-deep-achievement,Into the Deep,"Destroy the enemy ship (Complete ""Into The Deep"" on any difficulty.)",12 May 14,(20),,"Into the Deep
Destroy the enemy ship (Complete ""Into The Deep"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180995/david--goliath-achievement,David & Goliath,Take down the LCS on the first go.,12 May 14,(20),,"David & Goliath
Take down the LCS on the first go."
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180991/atlas-falls-achievement,Atlas Falls,"Distract the Federation Fleet. (Complete ""Atlas Falls"" on any difficulty.)",12 May 14,(25),,"Atlas Falls
Distract the Federation Fleet. (Complete ""Atlas Falls"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180989/clockwork-achievement,Clockwork,"Hack the system (Complete ""Clockwork"" on any difficulty.)",12 May 14,(25),,"Clockwork
Hack the system (Complete ""Clockwork"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180990/deep-freeze-achievement,Deep Freeze,Drop 8 vehicles into ice holes.,12 May 14,(25),,"Deep Freeze
Drop 8 vehicles into ice holes."
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180987/the-hunted-achievement,The Hunted,"Make it out alive (Complete ""The Hunted"" on any difficulty.)",12 May 14,(25),,"The Hunted
Make it out alive (Complete ""The Hunted"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180985/birds-of-prey-achievement,Birds of Prey,"Capture Rorke (Complete ""Birds of Prey"" on any difficulty.)",12 May 14,(10),,"Birds of Prey
Capture Rorke (Complete ""Birds of Prey"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180982/federation-day-achievement,Federation Day,"Gather intel on Rorke. (Complete ""Federation Day"" on any difficulty.)",11 May 14,(10),,"Federation Day
Gather intel on Rorke. (Complete ""Federation Day"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180984/carbon-faceprint-achievement,Carbon Faceprint,Catch the photocopier with your face.,11 May 14,(10),,"Carbon Faceprint
Catch the photocopier with your face."
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180980/legends-never-die-achievement,Legends Never Die,"Hunt down Almagro. (Complete ""Legends Never Die"" on any difficulty.)",11 May 14,(10),,"Legends Never Die
Hunt down Almagro. (Complete ""Legends Never Die"" on any difficulty.)"
https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,https://www.trueachievements.com/a163966/moar-tools-achievement,MOAR Tools,"Construct one type of each tool (one pickaxe, one spade, one axe and one hoe).",11 May 14,(15),,"MOAR Tools
Construct one type of each tool (one pickaxe, one spade, one axe and one hoe)."
https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,https://www.trueachievements.com/a163958/time-to-farm-achievement,Time to Farm!,Use planks and sticks to make a hoe.,11 May 14,(10),,"Time to Farm!
Use planks and sticks to make a hoe."
https://www.trueachievements.com/game/Borderlands-2-Xbox-360/achievements,https://www.trueachievements.com/a167537/first-ones-free-achievement,First One's Free,"Completed the mission ""My First Gun""",22 Dec 13,(10),,"First One's Free
Completed the mission ""My First Gun"""
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180978/homecoming-achievement,Homecoming,"Defend LA. (Complete ""Homecoming"" on any difficulty.)",15 Dec 13,(10),,"Homecoming
Defend LA. (Complete ""Homecoming"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180976/struck-down-achievement,Struck Down,"Find Ajax. (Complete ""Struck Down"" on any difficulty.)",15 Dec 13,(10),,"Struck Down
Find Ajax. (Complete ""Struck Down"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180974/no-mans-land-achievement,No Man's Land,"Make it to San Diego. (Complete ""No Man's Land"" on any difficulty.)",15 Dec 13,(10),,"No Man's Land
Make it to San Diego. (Complete ""No Man's Land"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180970/brave-new-world-achievement,Brave New World,"Rendez-vous in Fort Santa Monica. (Complete ""Brave New World"" on any difficulty.)",15 Dec 13,(10),,"Brave New World
Rendez-vous in Fort Santa Monica. (Complete ""Brave New World"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180972/ghost-stories-achievement,Ghost Stories,"Escape. (Complete ""Ghost Stories"" on any difficulty.)",15 Dec 13,(5),,"Ghost Stories
Escape. (Complete ""Ghost Stories"" on any difficulty.)"
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180973/spatial-awareness-achievement,Spatial Awareness,Kill your first enemy in the Call of Duty® Ghosts campaign.,15 Dec 13,(10),,"Spatial Awareness
Kill your first enemy in the Call of Duty® Ghosts campaign."
https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,https://www.trueachievements.com/a163959/bake-bread-achievement,Bake Bread,Turn wheat into bread.,29 Aug 13,(20),,"Bake Bread
Turn wheat into bread."
https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,https://www.trueachievements.com/a163964/when-pigs-fly-achievement,When Pigs Fly,"Use a saddle to ride a pig, then have the pig get hurt from fall damage while riding it.",04 Aug 13,(40),,"When Pigs Fly
Use a saddle to ride a pig, then have the pig get hurt from fall damage while riding it."
https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,https://www.trueachievements.com/a163961/delicious-fish-achievement,Delicious Fish,Catch and cook a fish!,04 Aug 13,(15),,"Delicious Fish
Catch and cook a fish!"
https://www.trueachievements.com/game/Crackdown/achievements,https://www.trueachievements.com/a9581/take-me-to-your-supply-point-achievement,Take Me To Your Supply Point,Unlock your first Supply Point,04 Aug 13,(10),,"Take Me To Your Supply Point
Unlock your first Supply Point"
https://www.trueachievements.com/game/Minecraft-Xbox-360/achievements,https://www.trueachievements.com/a163963/time-to-strike-achievement,Time to Strike!,Use planks and sticks to make a sword.,02 Aug 13,(10),,"Time to Strike!
Use planks and sticks to make a sword."
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171764/its-a-dangerous-business-achievement,It's a dangerous business...,Complete 'The Black Rider'.,15 Jul 13,(25),,"It's a dangerous business...
Complete 'The Black Rider'."
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171762/the-strength-of-men-failed-achievement,The strength of Men failed.,Complete 'Prologue'.,15 Jul 13,(25),,"The strength of Men failed.
Complete 'Prologue'."
https://www.trueachievements.com/game/LEGO-Lord-of-the-Rings/achievements,https://www.trueachievements.com/a171791/im-glad-to-be-with-you-achievement,I'm glad to be with you.,Complete a level in co-op.,15 Jul 13,(10),,"I'm glad to be with you.
Complete a level in co-op."
https://www.trueachievements.com/game/LEGO-Pirates-of-the-Caribbean/achievements,https://www.trueachievements.com/a150895/wind-in-your-sails-achievement,Wind in your sails!,Hit a flying parrot on Smuggler's Den,10 Jul 13,(15),,"Wind in your sails!
Hit a flying parrot on Smuggler's Den"
https://www.trueachievements.com/game/LEGO-Pirates-of-the-Caribbean/achievements,https://www.trueachievements.com/a150903/five-lashes-be-owed-achievement,Five lashes be owed,"As Jimmy Legs, whip Will Turner 5 times",10 Jul 13,(15),,"Five lashes be owed
As Jimmy Legs, whip Will Turner 5 times"
https://www.trueachievements.com/game/LEGO-Pirates-of-the-Caribbean/achievements,https://www.trueachievements.com/a150904/fire-achievement,Fire!,Fire 100 cannonballs,10 Jul 13,(15),,"Fire!
Fire 100 cannonballs"
https://www.trueachievements.com/game/LEGO-Pirates-of-the-Caribbean/achievements,https://www.trueachievements.com/a150887/a-pirates-life-for-me-achievement,A pirate's life for me,Test any custom character,10 Jul 13,(15),,"A pirate's life for me
Test any custom character"
https://www.trueachievements.com/game/LEGO-Pirates-of-the-Caribbean/achievements,https://www.trueachievements.com/a150870/the-curse-of-the-black-pearl-achievement,The Curse of the Black Pearl,Complete the Film 1 story,07 Jul 13,(20),,"The Curse of the Black Pearl
Complete the Film 1 story"
https://www.trueachievements.com/game/LEGO-Pirates-of-the-Caribbean/achievements,https://www.trueachievements.com/a150880/a-weather-eye-on-the-horizon-achievement,A weather eye on the horizon,Use a spyglass,07 Jul 13,(15),,"A weather eye on the horizon
Use a spyglass"
https://www.trueachievements.com/game/LEGO-Pirates-of-the-Caribbean/achievements,https://www.trueachievements.com/a150881/the-green-flash-achievement,The Green Flash,Watch a sunset,07 Jul 13,(15),,"The Green Flash
Watch a sunset"
https://www.trueachievements.com/game/LEGO-Pirates-of-the-Caribbean/achievements,https://www.trueachievements.com/a150868/welcome-to-the-caribbean-achievement,Welcome to the Caribbean!,Complete Port Royal,07 Jul 13,(12),,"Welcome to the Caribbean!
Complete Port Royal"
https://www.trueachievements.com/game/LEGO-Pirates-of-the-Caribbean/achievements,https://www.trueachievements.com/a150889/try-wearing-a-corset-achievement,Try wearing a corset,Do 5 lady backflips in a row,07 Jul 13,(15),,"Try wearing a corset
Do 5 lady backflips in a row"
https://www.trueachievements.com/game/LEGO-Pirates-of-the-Caribbean/achievements,https://www.trueachievements.com/a150867/ayeaye-captain-achievement,"Aye-aye, captain!",Play a level in co-op,07 Jul 13,(15),,"Aye-aye, captain!
Play a level in co-op"
https://www.trueachievements.com/game/LEGO-Pirates-of-the-Caribbean/achievements,https://www.trueachievements.com/a150869/here-there-be-monsters-achievement,Here there be monsters,Get eaten by a creature in deadly water,07 Jul 13,(15),,"Here there be monsters
Get eaten by a creature in deadly water"
https://www.trueachievements.com/game/Hydro-Thunder/achievements,https://www.trueachievements.com/a61952/cha-ching-achievement,Cha Ching!,"Earn 5,000 credits.",26 Jun 13,(25),,"Cha Ching!
Earn 5,000 credits."
https://www.trueachievements.com/game/Trials-HD/achievements,https://www.trueachievements.com/a35339/bling-achievement,Bling,The player has made at least 5 Gold-level performances.,26 Jun 13,(15),,"Bling
The player has made at least 5 Gold-level performances."
