achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Gears-5/achievements,https://www.trueachievements.com/a282017/pass-the-soap-achievement,Pass the Soap,Passed through a refuge shower with 3 Hivebusters in the same shower cubicle,29 Aug 20,(5),14,2.94
https://www.trueachievements.com/game/Gears-5/achievements,https://www.trueachievements.com/a296404/in-the-name-of-achievement,In the Name of..,Acquired Character Skins for 3 different post launch Characters,29 Aug 20,(5),7,1.5
https://www.trueachievements.com/game/Watch-Dogs-2/achievements,https://www.trueachievements.com/a226025/third-times-the-charm-achievement,Third Time's the Charm,Make 3 jumps in a row aboard a vehicle,24 Aug 20,(10),10,1.08
https://www.trueachievements.com/game/Watch-Dogs-2/achievements,https://www.trueachievements.com/a226008/put-your-damn-pants-on-achievement,Put Your Damn Pants On,Buy some pants after the party,23 Aug 20,(10),10,1.03
https://www.trueachievements.com/game/Watch-Dogs-2/achievements,https://www.trueachievements.com/a226007/who-am-i-achievement,Who Am I,Erase your past identity in the Blume servers,23 Aug 20,(10),10,1.0
https://www.trueachievements.com/game/EA-SPORTS-UFC-4/achievements,https://www.trueachievements.com/a305768/the-legend-achievement,The Legend,Become the GOAT in your Career.,21 Aug 20,(75),169,2.25
https://www.trueachievements.com/game/EA-SPORTS-UFC-4/achievements,https://www.trueachievements.com/a305764/undefeated-achievement,Undefeated,Defend the belt 12 consecutive times in your Career.,19 Aug 20,(60),144,2.41
https://www.trueachievements.com/game/EA-SPORTS-UFC-4/achievements,https://www.trueachievements.com/a305773/high-impact-achievement,High Impact,KO your opponent from clinch.,18 Aug 20,(15),31,2.08
https://www.trueachievements.com/game/EA-SPORTS-UFC-4/achievements,https://www.trueachievements.com/a305778/back-to-the-arcades-achievement,Back to the Arcades,Play a match of KO Mode.,18 Aug 20,(40),74,1.85
https://www.trueachievements.com/game/EA-SPORTS-UFC-4/achievements,https://www.trueachievements.com/a305774/this-is-me-achievement,This is Me,Edit all categories from your Player Card.,18 Aug 20,(30),92,3.08
