achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/XCOM-Enemy-Unknown/achievements,https://www.trueachievements.com/a168915/up-and-running-achievement,Up and Running,Build a base facility.,01 Jul 16,(5),,"Up and Running
Build a base facility."
https://www.trueachievements.com/game/XCOM-Enemy-Unknown/achievements,https://www.trueachievements.com/a168916/tables-turned-achievement,Tables Turned,Shoot down a UFO.,01 Jul 16,(10),,"Tables Turned
Shoot down a UFO."
https://www.trueachievements.com/game/XCOM-Enemy-Unknown/achievements,https://www.trueachievements.com/a168917/eye-in-the-sky-achievement,Eye in the Sky,Launch a Satellite.,01 Jul 16,(5),,"Eye in the Sky
Launch a Satellite."
https://www.trueachievements.com/game/XCOM-Enemy-Unknown/achievements,https://www.trueachievements.com/a168918/combat-ready-achievement,Combat Ready,Build an item.,01 Jul 16,(5),,"Combat Ready
Build an item."
https://www.trueachievements.com/game/XCOM-Enemy-Unknown/achievements,https://www.trueachievements.com/a168919/what-wonders-await-achievement,What Wonders Await,Complete a Research Project.,01 Jul 16,(5),,"What Wonders Await
Complete a Research Project."
https://www.trueachievements.com/game/XCOM-Enemy-Unknown/achievements,https://www.trueachievements.com/a168920/we-happy-few-achievement,We Happy Few,Complete a mission without losing a soldier.,01 Jul 16,(10),,"We Happy Few
Complete a mission without losing a soldier."
https://www.trueachievements.com/game/XCOM-Enemy-Unknown/achievements,https://www.trueachievements.com/a168921/and-so-it-begins-achievement,And So It Begins...,Complete the tutorial mission.,01 Jul 16,(15),,"And So It Begins...
Complete the tutorial mission."
https://www.trueachievements.com/game/XCOM-Enemy-Unknown/achievements,https://www.trueachievements.com/a168923/meet-new-people-then-kill-them-achievement,Meet New People. Then Kill Them.,Win a multiplayer match.,01 Jul 16,(25),,"Meet New People. Then Kill Them.
Win a multiplayer match."
https://www.trueachievements.com/game/Warhammer-40K-Kill-Team/achievements,https://www.trueachievements.com/a153032/chapter-master-achievement,Chapter Master,Play through each mission with two different Space Marines,01 Jul 16,(40),,"Chapter Master
Play through each mission with two different Space Marines"
https://www.trueachievements.com/game/Warhammer-40K-Kill-Team/achievements,https://www.trueachievements.com/a153022/tactical-achievement,Tactical,Unlock all weapons & ability upgrades,01 Jul 16,(10),,"Tactical
Unlock all weapons & ability upgrades"
https://www.trueachievements.com/game/Warhammer-40K-Kill-Team/achievements,https://www.trueachievements.com/a153024/relic-bearer-achievement,Relic Bearer,Find all the collectables,01 Jul 16,(10),,"Relic Bearer
Find all the collectables"
https://www.trueachievements.com/game/Warhammer-40K-Kill-Team/achievements,https://www.trueachievements.com/a153031/for-the-emperor-achievement,For the Emperor!,Get over 50 kills with each weapon type,01 Jul 16,(20),,"For the Emperor!
Get over 50 kills with each weapon type"
https://www.trueachievements.com/game/Warhammer-40K-Kill-Team/achievements,https://www.trueachievements.com/a153025/emperors-champion-achievement,Emperor’s Champion,Earn a gold Aquila in every survival challenge,01 Jul 16,(10),,"Emperor’s Champion
Earn a gold Aquila in every survival challenge"
https://www.trueachievements.com/game/Warhammer-40K-Kill-Team/achievements,https://www.trueachievements.com/a153028/victory-for-the-chapter-achievement,Victory for the Chapter,Defeat the Warboss!,01 Jul 16,(20),,"Victory for the Chapter
Defeat the Warboss!"
https://www.trueachievements.com/game/Warhammer-40K-Kill-Team/achievements,https://www.trueachievements.com/a153027/exterminatus-achievement,Exterminatus,Kill 5000 enemies in total,01 Jul 16,(15),,"Exterminatus
Kill 5000 enemies in total"
https://www.trueachievements.com/game/Warhammer-40K-Kill-Team/achievements,https://www.trueachievements.com/a153026/bloodbath-achievement,Bloodbath,"Achieve a ""Bloodbath"" Kill streak",30 Jun 16,(15),,"Bloodbath
Achieve a ""Bloodbath"" Kill streak"
https://www.trueachievements.com/game/Warhammer-40K-Kill-Team/achievements,https://www.trueachievements.com/a153030/honour-in-my-shield-achievement,Honour in My Shield,Complete a mission without dying,30 Jun 16,(20),,"Honour in My Shield
Complete a mission without dying"
https://www.trueachievements.com/game/Warhammer-40K-Kill-Team/achievements,https://www.trueachievements.com/a153029/devastator-achievement,Devastator,Complete a mission without using melee,30 Jun 16,(20),,"Devastator
Complete a mission without using melee"
https://www.trueachievements.com/game/Warhammer-40K-Kill-Team/achievements,https://www.trueachievements.com/a153023/chapter-brother-achievement,Chapter Brother,Complete a mission in co-op mode,30 Jun 16,(10),,"Chapter Brother
Complete a mission in co-op mode"
https://www.trueachievements.com/game/Warhammer-40K-Kill-Team/achievements,https://www.trueachievements.com/a153021/master-your-craft-achievement,Master Your Craft,Use a special move,30 Jun 16,(10),,"Master Your Craft
Use a special move"
https://www.trueachievements.com/game/Battle-Los-Angeles/achievements,https://www.trueachievements.com/a148266/staff-sergeant-achievement,Staff Sergeant,Complete the game on Normal Difficulty,30 Jun 16,(25),,"Staff Sergeant
Complete the game on Normal Difficulty"
https://www.trueachievements.com/game/Battle-Los-Angeles/achievements,https://www.trueachievements.com/a148271/one-hundo-achievement,One Hundo,Unlock all the unlockables,30 Jun 16,(50),,"One Hundo
Unlock all the unlockables"
https://www.trueachievements.com/game/Battle-Los-Angeles/achievements,https://www.trueachievements.com/a148267/color-me-impressed-achievement,Color Me Impressed,"Complete a mission on Normal without dying, failing, restarting, or continuing campaign",30 Jun 16,(10),,"Color Me Impressed
Complete a mission on Normal without dying, failing, restarting, or continuing campaign"
https://www.trueachievements.com/game/Battle-Los-Angeles/achievements,https://www.trueachievements.com/a148270/sergeant-major-achievement,Sergeant Major,Complete the game on Hard Difficulty,30 Jun 16,(50),,"Sergeant Major
Complete the game on Hard Difficulty"
https://www.trueachievements.com/game/Battle-Los-Angeles/achievements,https://www.trueachievements.com/a148265/seen-your-video-achievement,Seen Your Video,Watch an unlocked video,30 Jun 16,(5),,"Seen Your Video
Watch an unlocked video"
https://www.trueachievements.com/game/Battle-Los-Angeles/achievements,https://www.trueachievements.com/a148262/private-achievement,Private,Complete the game on Easy Difficulty,30 Jun 16,(15),,"Private
Complete the game on Easy Difficulty"
https://www.trueachievements.com/game/Battle-Los-Angeles/achievements,https://www.trueachievements.com/a148264/droppin-bombs-achievement,Droppin Bombs,Call in the airstrike to defeat the Command Center,30 Jun 16,(5),,"Droppin Bombs
Call in the airstrike to defeat the Command Center"
https://www.trueachievements.com/game/Battle-Los-Angeles/achievements,https://www.trueachievements.com/a148269/rocketman-achievement,Rocketman,Kill 2 aliens with one Rocket,30 Jun 16,(10),,"Rocketman
Kill 2 aliens with one Rocket"
https://www.trueachievements.com/game/Battle-Los-Angeles/achievements,https://www.trueachievements.com/a148263/kaboom-achievement,Kaboom,Destroy the gas station,30 Jun 16,(5),,"Kaboom
Destroy the gas station"
https://www.trueachievements.com/game/Battle-Los-Angeles/achievements,https://www.trueachievements.com/a148268/hummer-achievement,Hummer,Kill 15 enemies on the HMV turret,30 Jun 16,(10),,"Hummer
Kill 15 enemies on the HMV turret"
https://www.trueachievements.com/game/Battle-Los-Angeles/achievements,https://www.trueachievements.com/a148260/pool-and-dive-achievement,Pool and Dive,Survive the pool attack,30 Jun 16,(5),,"Pool and Dive
Survive the pool attack"
https://www.trueachievements.com/game/Battle-Los-Angeles/achievements,https://www.trueachievements.com/a148261/long-range-achievement,Long Range,Kill 20 enemies with a sniper rifle,30 Jun 16,(10),,"Long Range
Kill 20 enemies with a sniper rifle"
https://www.trueachievements.com/game/After-Burner-Climax/achievements,https://www.trueachievements.com/a60201/all-clear-achievement,All Clear!,Cleared Arcade mode with ending A.,30 Jun 16,(5),,"All Clear!
Cleared Arcade mode with ending A."
https://www.trueachievements.com/game/After-Burner-Climax/achievements,https://www.trueachievements.com/a60204/strike-eagle-achievement,Strike Eagle,Cleared Arcade mode with the F-15E.,30 Jun 16,(20),,"Strike Eagle
Cleared Arcade mode with the F-15E."
https://www.trueachievements.com/game/After-Burner-Climax/achievements,https://www.trueachievements.com/a60202/super-hornet-achievement,Super Hornet,Cleared Arcade mode with the F/A-18E.,30 Jun 16,(20),,"Super Hornet
Cleared Arcade mode with the F/A-18E."
https://www.trueachievements.com/game/After-Burner-Climax/achievements,https://www.trueachievements.com/a60205/triple-a-achievement,Triple A,"Got a AAA ranking in Arcade mode (for Shot Down, Combo, or Play Time).",30 Jun 16,(30),,"Triple A
Got a AAA ranking in Arcade mode (for Shot Down, Combo, or Play Time)."
https://www.trueachievements.com/game/After-Burner-Climax/achievements,https://www.trueachievements.com/a60206/super-tomcat-achievement,Super Tomcat,Cleared Arcade mode with the F-14D.,30 Jun 16,(20),,"Super Tomcat
Cleared Arcade mode with the F-14D."
https://www.trueachievements.com/game/After-Burner-Climax/achievements,https://www.trueachievements.com/a60203/50-combo-achievement,50 Combo,Got a combo of 50 in Arcade mode.,30 Jun 16,(20),,"50 Combo
Got a combo of 50 in Arcade mode."
https://www.trueachievements.com/game/After-Burner-Climax/achievements,https://www.trueachievements.com/a60207/across-enemy-lines-achievement,Across enemy lines,Cleared Stage 10 in Arcade mode.,30 Jun 16,(10),,"Across enemy lines
Cleared Stage 10 in Arcade mode."
https://www.trueachievements.com/game/After-Burner-Climax/achievements,https://www.trueachievements.com/a60208/stealth-bomber-achievement,Stealth bomber,Cleared Stage 5 in Arcade mode.,30 Jun 16,(10),,"Stealth bomber
Cleared Stage 5 in Arcade mode."
https://www.trueachievements.com/game/After-Burner-Climax/achievements,https://www.trueachievements.com/a60209/emergency-order-achievement,Emergency Order,Cleared an Emergency Order in Arcade mode.,30 Jun 16,(20),,"Emergency Order
Cleared an Emergency Order in Arcade mode."
https://www.trueachievements.com/game/After-Burner-Climax/achievements,https://www.trueachievements.com/a60210/climax-mode-achievement,Climax Mode,Activated Climax Mode in Arcade mode.,30 Jun 16,(15),,"Climax Mode
Activated Climax Mode in Arcade mode."
https://www.trueachievements.com/game/After-Burner-Climax/achievements,https://www.trueachievements.com/a60211/roll-achievement,ROLL,Performed a roll in Arcade mode.,30 Jun 16,(15),,"ROLL
Performed a roll in Arcade mode."
https://www.trueachievements.com/game/After-Burner-Climax/achievements,https://www.trueachievements.com/a60200/rank-in-achievement,Rank In,Uploaded a Score Attack score to rankings.,30 Jun 16,(15),,"Rank In
Uploaded a Score Attack score to rankings."
