achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240990/super-rare-collector-achievement,Super Rare Collector,Reached Car Collector Tier 4,30 Oct 21,(10),,"Super Rare Collector
Reached Car Collector Tier 4"
https://www.trueachievements.com/game/TRIVIAL-PURSUIT-LIVE-Xbox-One/achievements,https://www.trueachievements.com/a196406/a-sense-of-entitlement-achievement,A Sense of Entitlement,Unlocked 30 Titles (not including Uplay or Hasbro Game Channel Rewards).,12 Nov 20,(120),,"A Sense of Entitlement
Unlocked 30 Titles (not including Uplay or Hasbro Game Channel Rewards)."
https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,https://www.trueachievements.com/a306533/look-ma-no-hands-achievement,"Look Ma, No Hands!",Utilize autopilot for a total of 600 miles.,27 Aug 20,(10),,"Look Ma, No Hands!
Utilize autopilot for a total of 600 miles."
https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,https://www.trueachievements.com/a306548/greased-achievement,Greased,Complete every Landing Challenge.,24 Aug 20,(30),,"Greased
Complete every Landing Challenge."
https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,https://www.trueachievements.com/a306541/a-few-bumps-achievement,A Few Bumps,"Land at an airport where windspeeds are in excess of 15 knots, without using any assistance.",24 Aug 20,(20),,"A Few Bumps
Land at an airport where windspeeds are in excess of 15 knots, without using any assistance."
https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,https://www.trueachievements.com/a306525/mother-nature-achievement,Mother Nature,Adjust the weather during a flight.,23 Aug 20,(5),,"Mother Nature
Adjust the weather during a flight."
https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,https://www.trueachievements.com/a306530/service-with-a-smile-achievement,Service with a Smile,Request each type of pre-flight Ground Service while at an appropriate airport gate.,23 Aug 20,(10),,"Service with a Smile
Request each type of pre-flight Ground Service while at an appropriate airport gate."
https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,https://www.trueachievements.com/a306538/deadstick-landing-achievement,Deadstick Landing,"After receiving landing clearance, switch off engines and successfully land on the runway.",23 Aug 20,(15),,"Deadstick Landing
After receiving landing clearance, switch off engines and successfully land on the runway."
https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,https://www.trueachievements.com/a306542/uphill-climb-achievement,Uphill Climb,"Land on a runway that has at least a 12 degree incline, without using any assistance.",23 Aug 20,(20),,"Uphill Climb
Land on a runway that has at least a 12 degree incline, without using any assistance."
https://www.trueachievements.com/game/Microsoft-Flight-Simulator/achievements,https://www.trueachievements.com/a306535/on-the-green-achievement,On the Green,"Land on a grass runway, without using any assistance.",23 Aug 20,(10),,"On the Green
Land on a grass runway, without using any assistance."
