achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Zombie-Army-4-Dead-War/achievements,https://www.trueachievements.com/a285830/not-today-you-wont-achievement,Not today you won't,"Complete consecutive 12 Waves and escape from the Horde Map ""The Bitter End"".",11 Aug 22,(15),54,3.61
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312444/you-have-been-everywhere-achievement,You Have Been Everywhere,Unlock all the location collectables,24 Jul 22,(25),42,1.69
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312448/paw-patrol-member-achievement,Paw patrol member,Complete the game,24 Jul 22,(150),225,1.5
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312425/robot-out-of-control-achievement,Robot Out of Control,Complete Rescue Mission “Runaway Robot”,24 Jul 22,(35),52,1.5
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312424/mandy-family-achievement,Mandy Family,Complete Rescue Mission “Save Mandy”,24 Jul 22,(35),51,1.46
https://www.trueachievements.com/game/Hellblade-Senuas-Sacrifice/achievements,https://www.trueachievements.com/a250569/the-final-battle-achievement,The Final Battle,Confront Hela,19 Jul 22,(100),164,1.64
https://www.trueachievements.com/game/Hellblade-Senuas-Sacrifice/achievements,https://www.trueachievements.com/a250568/tamed-the-beast-achievement,Tamed the Beast,Defeat Fenrir,19 Jul 22,(90),147,1.63
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312423/carlos-is-tangled-achievement,Carlos Is Tangled,Complete Rescue Mission “Save Carlos”,17 Jul 22,(35),49,1.4
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312439/in-the-air-achievement,In the Air,Complete the “Take to the Skye!” minigame the first time,17 Jul 22,(25),38,1.54
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312437/training-day-achievement,Training Day,Complete the “Obstacle Course” minigame the first time,17 Jul 22,(25),37,1.5
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312422/risky-rescue-achievement,Risky Rescue,Complete Rescue Mission “Jake’s Mountain”,17 Jul 22,(35),46,1.33
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312442/never-miss-achievement,Never Miss,Complete the “Dive In with Zuma” minigame the first time,17 Jul 22,(25),35,1.43
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312421/summer-day-achievement,Summer Day,Complete Rescue Mission “Find Chickaletta”,17 Jul 22,(35),43,1.24
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312433/pup-pup-boogie-achievement,Pup Pup Boogie,Play the “Pup Pup Boogie” minigame,17 Jul 22,(25),28,1.14
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312435/break-time-achievement,Break Time,Play the “Jump rope” minigame,17 Jul 22,(25),35,1.4
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312436/master-of-the-rope-achievement,Master of the Rope,Achieve 10 consecutive jumps in “Jump rope” minigame,17 Jul 22,(30),42,1.41
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312434/mr-porter-achievement,Mr. Porter,Play the “Mr. Porter’s Feast” minigame,17 Jul 22,(25),32,1.3
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312441/clear-the-road-achievement,Clear the Road,Complete the “Everest's Snowy Adventure” minigame the first time,17 Jul 22,(25),34,1.36
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312420/grand-reopening-achievement,Grand Re-Opening,Complete Rescue Mission “Jake’s Resort”,17 Jul 22,(35),40,1.15
https://www.trueachievements.com/game/PAW-Patrol-Mighty-Pups-Save-Adventure-Bay/achievements,https://www.trueachievements.com/a312419/mighty-powers-achievement,Mighty Powers,Complete Rescue mission “The meteor”,17 Jul 22,(35),35,1.0
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332324/the-great-storm-achievement,The Great Storm,Complete Rescue Mission “The Great Storm”,16 Jul 22,(30),49,1.66
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332323/brave-bridge-rescue-achievement,Brave Bridge Rescue,Complete Rescue Mission “Brave Bridge Rescue”,16 Jul 22,(20),32,1.61
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332335/collect-them-all-achievement,Collect them all,Play the “Collect them all” minigame,15 Jul 22,(20),33,1.69
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332336/training-day-achievement,Training Day,Complete the “Obstacle Race” minigame the first time,15 Jul 22,(20),33,1.69
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332337/the-fastest-achievement,The Fastest,Complete the “Obstacle Race” minigame in 60 seconds or less,15 Jul 22,(30),50,1.68
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332333/pup-pup-boogie-achievement,Pup Pup Boogie,Play the “Pup Pup Boogie” minigame,15 Jul 22,(20),26,1.3
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332334/boogie-master-achievement,Boogie Master,"Get over 12000 points in ""Pup Pup Boogie"" minigame",15 Jul 22,(30),42,1.42
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332322/the-case-of-chase-achievement,The Case of Chase,Complete Rescue Mission “The Case of Chase”,15 Jul 22,(20),31,1.57
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332321/stinky-water-woes-achievement,Stinky Water Woes,Complete Rescue Mission “Stinky Water Woes”,15 Jul 22,(20),30,1.51
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332320/hyperloop-havoc-achievement,Hyperloop Havoc,Complete Rescue Mission “Hyperloop Havoc”,15 Jul 22,(20),27,1.38
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332338/on-the-road-achievement,On the road,Complete the “Time trial!” minigame for the first time,15 Jul 22,(20),27,1.38
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332319/electrical-shutdown-achievement,Electrical Shutdown,Complete Rescue Mission “Electrical Shutdown”,15 Jul 22,(20),25,1.28
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332318/traffic-patrol-achievement,Traffic Patrol,Complete Rescue Mission “Traffic Patrol”,15 Jul 22,(20),22,1.14
https://www.trueachievements.com/game/PAW-Patrol-The-Movie-Adventure-City-Calls/achievements,https://www.trueachievements.com/a332317/put-out-the-fires-achievement,Put out the Fires,Complete Rescue mission “Put out the Fires”,15 Jul 22,(20),20,1.0
https://www.trueachievements.com/game/Assassins-Creed-Valhalla/achievements,https://www.trueachievements.com/a313850/master-hunter-achievement,Master Hunter,Defeat all Alpha animals (Base game only),09 Jul 22,(30),68,2.27
https://www.trueachievements.com/game/Hellblade-Senuas-Sacrifice/achievements,https://www.trueachievements.com/a250566/into-the-mountain-achievement,Into the Mountain,Enter Helheim,22 Jun 22,(90),145,1.61
https://www.trueachievements.com/game/Hellblade-Senuas-Sacrifice/achievements,https://www.trueachievements.com/a250565/warrior-achievement,Warrior,Escape the Sea of Corpses,22 Jun 22,(50),80,1.6
https://www.trueachievements.com/game/Hellblade-Senuas-Sacrifice/achievements,https://www.trueachievements.com/a250564/gramr-released-achievement,Gramr Released,Pull Gramr out of the Tree,22 Jun 22,(90),144,1.6
https://www.trueachievements.com/game/Hellblade-Senuas-Sacrifice/achievements,https://www.trueachievements.com/a250563/escaped-achievement,Escaped,Complete the Labyrinth Shard Challenge,22 Jun 22,(30),46,1.56
https://www.trueachievements.com/game/Hellblade-Senuas-Sacrifice/achievements,https://www.trueachievements.com/a250561/cure-for-the-plague-achievement,Cure For The Plague,Complete the Swamp Shard Challenge,22 Jun 22,(30),47,1.58
https://www.trueachievements.com/game/Hellblade-Senuas-Sacrifice/achievements,https://www.trueachievements.com/a250560/different-perspectives-achievement,Different Perspectives,Complete the Tower Shard Challenge,22 Jun 22,(30),47,1.58
https://www.trueachievements.com/game/Hellblade-Senuas-Sacrifice/achievements,https://www.trueachievements.com/a250559/trust-your-senses-achievement,Trust Your Senses,Complete the Blindness Shard Challenge,22 Jun 22,(30),47,1.59
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274335/found-achievement,Found!,Play hide-and-seek,21 Jun 22,(15),32,2.14
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274334/big-sister-achievement,Big sister,Find all the gifts for the orphans,21 Jun 22,(100),249,2.49
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274337/knights-achievement,Knights!,Complete all chapters,20 Jun 22,(100),135,1.35
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274338/coronation-achievement,Coronation,Complete chapter 16,20 Jun 22,(30),40,1.34
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274340/the-blacksmith-achievement,The Blacksmith,Find Rodric's forge,20 Jun 22,(15),23,1.57
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274343/handfull-of-pockets-achievement,Handfull of pockets,Fully upgrade the equipment,20 Jun 22,(30),70,2.35
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274342/remembrance-achievement,Remembrance,Complete chapter 15,20 Jun 22,(15),19,1.31
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274339/not-a-toy-anymore-achievement,Not a toy anymore,Fully upgrade the sling,20 Jun 22,(30),61,2.05
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274344/blood-ties-achievement,Blood Ties,Complete chapter 14,20 Jun 22,(15),19,1.3
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274345/penance-achievement,Penance,Complete chapter 13,19 Jun 22,(15),19,1.29
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274346/all-that-remains-achievement,All That Remains,Complete chapter 12,19 Jun 22,(15),19,1.29
https://www.trueachievements.com/game/A-Plague-Tale-Innocence/achievements,https://www.trueachievements.com/a274348/merciful-achievement,Merciful,Save the dying,19 Jun 22,(30),53,1.78
