achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Carto/achievements,https://www.trueachievements.com/a310216/horticartoralist-achievement,Horti-carto-ralist,Finish chapter 2.,29 Apr 23,(40),,"Horti-carto-ralist
Finish chapter 2."
https://www.trueachievements.com/game/Carto/achievements,https://www.trueachievements.com/a310215/set-sail-achievement,Set Sail,Finish chapter 1.,26 Apr 23,(40),,"Set Sail
Finish chapter 1."
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201949/two-faces-of-fear-achievement,Two Faces of Fear!,Stop the bank heist on Bleake Island.,26 Apr 23,(10),,"Two Faces of Fear!
Stop the bank heist on Bleake Island."
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201953/with-a-vengeance-achievement,With a Vengeance!,Take on the heavy artillery reinforcements.,26 Apr 23,(10),,"With a Vengeance!
Take on the heavy artillery reinforcements."
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201903/dark-wings-fly-away-in-fear-achievement,Dark Wings Fly Away in Fear,What is the Cloudburst?,26 Apr 23,(20),,"Dark Wings Fly Away in Fear
What is the Cloudburst?"
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201887/a-battle-within-achievement,A Battle Within,Fight for your sanity.,16 Apr 23,(10),,"A Battle Within
Fight for your sanity."
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201899/cold-world-achievement,Cold World,Destroy the first weapons cache in Gotham City.,16 Apr 23,(20),,"Cold World
Destroy the first weapons cache in Gotham City."
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201921/living-hell-achievement,Living Hell,Interrogate the Militia APC Driver.,16 Apr 23,(10),,"Living Hell
Interrogate the Militia APC Driver."
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201925/no-mans-land-achievement,No Man's Land,Restore power to the bridges of Gotham City.,16 Apr 23,(10),,"No Man's Land
Restore power to the bridges of Gotham City."
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201891/as-the-crow-flies-achievement,As the Crow Flies,Escape from ACE Chemicals.,16 Apr 23,(20),,"As the Crow Flies
Escape from ACE Chemicals."
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201911/fear-of-faith-achievement,Fear of Faith,Rescue the ACE Chemical workers.,16 Apr 23,(10),,"Fear of Faith
Rescue the ACE Chemical workers."
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201939/the-frequency-of-fear-achievement,The Frequency of Fear,Scan Gotham City to pinpoint Scarecrow's location.,15 Apr 23,(20),,"The Frequency of Fear
Scan Gotham City to pinpoint Scarecrow's location."
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201885/trail-of-fear-achievement,Trail of Fear,Lock up your first Supervillain in GCPD.,15 Apr 23,(10),,"Trail of Fear
Lock up your first Supervillain in GCPD."
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201886/journey-into-knight-achievement,Journey into Knight,Even The Odds.,15 Apr 23,(10),,"Journey into Knight
Even The Odds."
https://www.trueachievements.com/game/Dicey-Dungeons/achievements,https://www.trueachievements.com/a345919/20-damage-with-dagger-achievement,20 damage with Dagger,Do more than 20 damage in one turn with Dagger.,15 Apr 23,(15),,"20 damage with Dagger
Do more than 20 damage in one turn with Dagger."
https://www.trueachievements.com/game/Dicey-Dungeons/achievements,https://www.trueachievements.com/a345881/unlock-episodes-achievement,Unlock episodes,Unlock episodes.,13 Apr 23,(10),,"Unlock episodes
Unlock episodes."
https://www.trueachievements.com/game/Dicey-Dungeons/achievements,https://www.trueachievements.com/a345916/win-on-your-first-turn-achievement,Win on your first turn,Defeat an enemy on your first turn.,13 Apr 23,(15),,"Win on your first turn
Defeat an enemy on your first turn."
https://www.trueachievements.com/game/Dicey-Dungeons/achievements,https://www.trueachievements.com/a345924/inflict-10-poison-achievement,Inflict 10 Poison,Stack 10 or more total Poison on an enemy at once.,13 Apr 23,(15),,"Inflict 10 Poison
Stack 10 or more total Poison on an enemy at once."
https://www.trueachievements.com/game/Donut-County/achievements,https://www.trueachievements.com/a265844/escape-achievement,Escape,Find Trash King's secret getaway vehicle.,12 Apr 23,(95),,"Escape
Find Trash King's secret getaway vehicle."
