achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387635/promising-agent-achievement,Promising Agent,Complete the main story on Standard mode or higher.,27 Mar 23,(20),,"Promising Agent
Complete the main story on Standard mode or higher."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387636/youre-small-time-achievement,You're Small Time!,Defeat Osmund Saddler.,27 Mar 23,(50),,"You're Small Time!
Defeat Osmund Saddler."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387629/raider-achievement,Raider,Obtain all treasures indicated on the island treasure map in a single playthrough.,27 Mar 23,(20),,"Raider
Obtain all treasures indicated on the island treasure map in a single playthrough."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387637/you-used-to-be-a-good-guy-achievement,You Used to Be a Good Guy,Defeat Jack Krauser.,27 Mar 23,(20),,"You Used to Be a Good Guy
Defeat Jack Krauser."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387638/two-bugs-one-stone-achievement,"Two Bugs, One Stone",Kill 2 parasites inside a Regenerador with a single bullet.,27 Mar 23,(20),,"Two Bugs, One Stone
Kill 2 parasites inside a Regenerador with a single bullet."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387640/no-thanks-bro-achievement,"No Thanks, Bro!",Defeat Ramón Salazar.,27 Mar 23,(30),,"No Thanks, Bro!
Defeat Ramón Salazar."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387630/you-talk-too-much-achievement,You Talk Too Much!,Throw a grenade into Ramón Salazar's mouth.,27 Mar 23,(20),,"You Talk Too Much!
Throw a grenade into Ramón Salazar's mouth."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387645/overkill-achievement,Overkill,Use a cannon to defeat a zealot.,26 Mar 23,(20),,"Overkill
Use a cannon to defeat a zealot."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387634/bandit-achievement,Bandit,Obtain all treasures indicated on the village treasure map in a single playthrough.,26 Mar 23,(20),,"Bandit
Obtain all treasures indicated on the village treasure map in a single playthrough."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387646/grilled-big-cheese-achievement,Grilled Big Cheese,Defeat Bitores Méndez.,26 Mar 23,(30),,"Grilled Big Cheese
Defeat Bitores Méndez."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387647/talk-about-neardeath-experience-achievement,Talk About Near-Death Experience!,Rescue Ashley as she's being carried away by the enemy.,26 Mar 23,(20),,"Talk About Near-Death Experience!
Rescue Ashley as she's being carried away by the enemy."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387648/harpoon-hurler-achievement,Harpoon Hurler,Defeat Del Lago.,26 Mar 23,(20),,"Harpoon Hurler
Defeat Del Lago."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387650/revolt-against-the-revolting-achievement,Revolt Against the Revolting,Destroy a Clockwork Castellan.,25 Mar 23,(20),,"Revolt Against the Revolting
Destroy a Clockwork Castellan."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387652/my-preferred-piece-achievement,My Preferred Piece,Upgrade a weapon.,25 Mar 23,(20),,"My Preferred Piece
Upgrade a weapon."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387653/nice-one-stranger-achievement,"Nice One, Stranger!",Complete a request for the Merchant.,25 Mar 23,(20),,"Nice One, Stranger!
Complete a request for the Merchant."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387651/knife-basics-achievement,Knife Basics,Parry an enemy with a knife.,25 Mar 23,(20),,"Knife Basics
Parry an enemy with a knife."
https://www.trueachievements.com/game/Scorn/achievements,https://www.trueachievements.com/a373199/001-achievement,001,Extraction,16 Oct 22,(100),,"001
Extraction"
https://www.trueachievements.com/game/Scorn/achievements,https://www.trueachievements.com/a373210/012-achievement,012,Fin,16 Oct 22,(80),,"012
Fin"
https://www.trueachievements.com/game/Scorn/achievements,https://www.trueachievements.com/a373209/011-achievement,011,Perception Beyond,16 Oct 22,(80),,"011
Perception Beyond"
https://www.trueachievements.com/game/Scorn/achievements,https://www.trueachievements.com/a373208/010-achievement,010,Fluid flowing within,16 Oct 22,(80),,"010
Fluid flowing within"
https://www.trueachievements.com/game/Scorn/achievements,https://www.trueachievements.com/a373207/009-achievement,009,Detachment,16 Oct 22,(80),,"009
Detachment"
https://www.trueachievements.com/game/Scorn/achievements,https://www.trueachievements.com/a373206/008-achievement,008,Station to station,16 Oct 22,(80),,"008
Station to station"
https://www.trueachievements.com/game/Scorn/achievements,https://www.trueachievements.com/a373205/007-achievement,007,At the lowermost point,16 Oct 22,(80),,"007
At the lowermost point"
https://www.trueachievements.com/game/Scorn/achievements,https://www.trueachievements.com/a373204/006-achievement,006,Path forward constructed,16 Oct 22,(80),,"006
Path forward constructed"
https://www.trueachievements.com/game/Scorn/achievements,https://www.trueachievements.com/a373203/005-achievement,005,Key possession,16 Oct 22,(80),,"005
Key possession"
https://www.trueachievements.com/game/Scorn/achievements,https://www.trueachievements.com/a373202/004-achievement,004,Close encounter,16 Oct 22,(80),,"004
Close encounter"
https://www.trueachievements.com/game/Scorn/achievements,https://www.trueachievements.com/a373201/003-achievement,003,Hazardous occurrence,16 Oct 22,(80),,"003
Hazardous occurrence"
https://www.trueachievements.com/game/Scorn/achievements,https://www.trueachievements.com/a373200/002-achievement,002,Hand in hand,16 Oct 22,(100),,"002
Hand in hand"
https://www.trueachievements.com/game/Cyberpunk-2077/achievements,https://www.trueachievements.com/a317485/autojock-achievement,Autojock,Buy all vehicles available for purchase.,05 Oct 22,(30),,"Autojock
Buy all vehicles available for purchase."
https://www.trueachievements.com/game/Cyberpunk-2077/achievements,https://www.trueachievements.com/a317477/full-body-conversion-achievement,Full Body Conversion,Install at least one implant in each system and body part.,05 Oct 22,(15),,"Full Body Conversion
Install at least one implant in each system and body part."
https://www.trueachievements.com/game/Deathloop/achievements,https://www.trueachievements.com/a371049/gooooood-morning-blackreef-achievement,"Gooooood Morning, Blackreef!",Escaped to Updaam.,23 Sep 22,(15),,"Gooooood Morning, Blackreef!
Escaped to Updaam."
https://www.trueachievements.com/game/MultiVersus/achievements,https://www.trueachievements.com/a360023/matchmaker-achievement,Matchmaker,Play 1 matchmade game,28 Aug 22,(15),,"Matchmaker
Play 1 matchmade game"
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346442/too-many-goodbyes-achievement,Too Many Goodbyes,Defeated the Harbinger. Confronted the truth.,22 Dec 21,(10),,"Too Many Goodbyes
Defeated the Harbinger. Confronted the truth."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346443/set-a-fire-in-your-heart-achievement,Set a Fire in Your Heart,Completed the main campaign.,22 Dec 21,(30),,"Set a Fire in Your Heart
Completed the main campaign."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346444/bare-your-fangs-achievement,Bare Your Fangs,Completed the main campaign on Normal difficulty.,22 Dec 21,(30),,"Bare Your Fangs
Completed the main campaign on Normal difficulty."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346441/legends-achievement,Legends,At the end he was just a soldier. Hoping he'd done the right thing.,22 Dec 21,(10),,"Legends
At the end he was just a soldier. Hoping he'd done the right thing."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346440/reckoning-achievement,Reckoning,Stormed the House of Reckoning.,22 Dec 21,(10),,"Reckoning
Stormed the House of Reckoning."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346439/together-again-achievement,Together. Again.,A friend was in danger and time is running out. It's time to face your past and save your future.,22 Dec 21,(10),,"Together. Again.
A friend was in danger and time is running out. It's time to face your past and save your future."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346438/hear-these-words-achievement,Hear These Words!,Infiltrated the Command Spire and put an end to the Reformation.,13 Dec 21,(10),,"Hear These Words!
Infiltrated the Command Spire and put an end to the Reformation."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346437/what-will-it-take-achievement,What Will It Take?,"Entered the Nexus and learned the secrets of the Spires. Trust is a fragile thing, isn't it?",13 Dec 21,(10),,"What Will It Take?
Entered the Nexus and learned the secrets of the Spires. Trust is a fragile thing, isn't it?"
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346436/light-the-way-achievement,Light the Way,"Reached the Beacons, assembled the Sequence, and gained access to the Command Spire.",13 Dec 21,(10),,"Light the Way
Reached the Beacons, assembled the Sequence, and gained access to the Command Spire."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346461/bloodstars-bane-achievement,Bloodstars' Bane,Eliminated all 15 Banished High-Value Targets.,13 Dec 21,(20),,"Bloodstars' Bane
Eliminated all 15 Banished High-Value Targets."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346456/resurgency-achievement,Resurgency,Captured all available Forward Operating Bases.,13 Dec 21,(20),,"Resurgency
Captured all available Forward Operating Bases."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346454/bunker-buster-achievement,Bunker Buster,Completed all seven Banished outposts.,13 Dec 21,(20),,"Bunker Buster
Completed all seven Banished outposts."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346435/brothers-grim-achievement,Brothers Grim,Took down the Spartan Killers Hyperius and Tovarus.,11 Dec 21,(10),,"Brothers Grim
Took down the Spartan Killers Hyperius and Tovarus."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346480/gun-runner-achievement,Gun Runner,Took down all three Banished AA guns in under 20 minutes.,11 Dec 21,(10),,"Gun Runner
Took down all three Banished AA guns in under 20 minutes."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346434/one-down-achievement,One Down…,Destroyed a Banished anti-aircraft gun.,11 Dec 21,(10),,"One Down…
Destroyed a Banished anti-aircraft gun."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346433/pelican-down-achievement,Pelican Down,Shut down the first Spire and stopped Zeta's Reformation.,11 Dec 21,(10),,"Pelican Down
Shut down the first Spire and stopped Zeta's Reformation."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346432/hunter-killer-achievement,Hunter. Killer.,Defeated the Hunter pair stationed at the base of the Spire.,11 Dec 21,(10),,"Hunter. Killer.
Defeated the Hunter pair stationed at the base of the Spire."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346476/headstrong-achievement,Headstrong,Discovered your first hidden Skull.,11 Dec 21,(10),,"Headstrong
Discovered your first hidden Skull."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346478/please-shut-up-achievement,Please Shut Up,Took out a Banished Propaganda Tower.,11 Dec 21,(10),,"Please Shut Up
Took out a Banished Propaganda Tower."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346447/evasive-maneuvers-achievement,Evasive Maneuvers,Unlocked the Thruster ability.,11 Dec 21,(10),,"Evasive Maneuvers
Unlocked the Thruster ability."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346448/grab-some-cover-achievement,Grab Some Cover,Unlocked the Drop Wall ability.,11 Dec 21,(10),,"Grab Some Cover
Unlocked the Drop Wall ability."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346431/unearthed-achievement,Unearthed,Shut down the Banished mining laser and gained access to the Conservatory.,11 Dec 21,(10),,"Unearthed
Shut down the Banished mining laser and gained access to the Conservatory."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346491/takes-one-to-make-one-achievement,Takes One to Make One,Splattered an enemy with a Ghost.,11 Dec 21,(10),,"Takes One to Make One
Splattered an enemy with a Ghost."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346488/whipriding-the-ghost-achievement,Whip-Riding the Ghost,Used the Grappleshot to board an enemy Ghost.,11 Dec 21,(10),,"Whip-Riding the Ghost
Used the Grappleshot to board an enemy Ghost."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346483/nosebleed-achievement,Nosebleed,Checked out the best possible view.,11 Dec 21,(10),,"Nosebleed
Checked out the best possible view."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346430/fallen-achievement,Fallen,Followed the UNSC signal to a Banished stronghold called the Tower. Found the source. Got out alive.,11 Dec 21,(10),,"Fallen
Followed the UNSC signal to a Banished stronghold called the Tower. Found the source. Got out alive."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346449/visionary-achievement,Visionary,Unlocked the Threat Sensor ability.,11 Dec 21,(10),,"Visionary
Unlocked the Threat Sensor ability."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346492/wars-with-friends-achievement,Wars with Friends,Brought some rescued UNSC Marines along for the ride into a main mission.,11 Dec 21,(10),,"Wars with Friends
Brought some rescued UNSC Marines along for the ride into a main mission."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346460/headhunter-achievement,Headhunter,Eliminated a Banished High-Value Target.,11 Dec 21,(10),,"Headhunter
Eliminated a Banished High-Value Target."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346472/money-in-the-bank-achievement,Money in the Bank,Accessed your first Mjolnir Armor Locker.,11 Dec 21,(10),,"Money in the Bank
Accessed your first Mjolnir Armor Locker."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346453/outpost-discovery-achievement,Outpost Discovery,Completed a Banished outpost.,11 Dec 21,(10),,"Outpost Discovery
Completed a Banished outpost."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346458/were-on-our-way-achievement,We're On Our Way,Answered a UNSC distress call.,11 Dec 21,(10),,"We're On Our Way
Answered a UNSC distress call."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346455/reclaimer-achievement,Reclaimer,Captured your first Forward Operating Base.,11 Dec 21,(10),,"Reclaimer
Captured your first Forward Operating Base."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346429/zeta-achievement,Zeta,Fought your way through Outpost Tremonius and stepped out onto the surface of Zeta Halo.,11 Dec 21,(10),,"Zeta
Fought your way through Outpost Tremonius and stepped out onto the surface of Zeta Halo."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346468/hidden-experience-achievement,Hidden Experience,Located and secured a Spartan Core.,11 Dec 21,(10),,"Hidden Experience
Located and secured a Spartan Core."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346428/ascension-achievement,Ascension,Defeated the Banished warlord Tremonius,11 Dec 21,(10),,"Ascension
Defeated the Banished warlord Tremonius"
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346484/those-wonderful-toys-achievement,Those Wonderful Toys,Successfully used the Grappleshot 50 times.,11 Dec 21,(10),,"Those Wonderful Toys
Successfully used the Grappleshot 50 times."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346462/dispatches-from-the-front-achievement,Dispatches From the Front,Accessed your first UNSC Audio Log.,11 Dec 21,(10),,"Dispatches From the Front
Accessed your first UNSC Audio Log."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346464/two-sides-to-every-story-achievement,Two Sides to Every Story,Accessed your first Banished Audio Log.,11 Dec 21,(10),,"Two Sides to Every Story
Accessed your first Banished Audio Log."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346427/together-again-achievement,Together. Again?,Explored the underbelly of Zeta Halo and retrieved a weapon to turn the tide of this conflict.,11 Dec 21,(10),,"Together. Again?
Explored the underbelly of Zeta Halo and retrieved a weapon to turn the tide of this conflict."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346426/first-contact-achievement,First Contact,"Lost, and found.",11 Dec 21,(10),,"First Contact
Lost, and found."
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346466/infinity-down-achievement,Infinity Down,Accessed your first Spartan Audio Log.,11 Dec 21,(10),,"Infinity Down
Accessed your first Spartan Audio Log."
https://www.trueachievements.com/game/Grand-Theft-Auto-III-The-Definitive-Edition/achievements,https://www.trueachievements.com/a346094/disposing-of-the-evidence-achievement,Disposing of the Evidence,Crush a car at the junkyard.,11 Nov 21,(15),,"Disposing of the Evidence
Crush a car at the junkyard."
https://www.trueachievements.com/game/Grand-Theft-Auto-III-The-Definitive-Edition/achievements,https://www.trueachievements.com/a346091/first-day-on-the-job-achievement,First Day on the Job,"Complete ""Luigi's Girls"".",11 Nov 21,(15),,"First Day on the Job
Complete ""Luigi's Girls""."
