achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391527/peekaboo-achievement,Peek-a-boo,Destroy your first Shroud.,03 May 23,(10),15,1.53
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391517/bad-wiring-achievement,Bad Wiring,Disable a tripwire using a rewire kit.,03 May 23,(10),19,1.96
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391534/catch-and-release-achievement,Catch and Release,Rescue a civilian hostage.,03 May 23,(10),15,1.5
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391518/spit-take-achievement,Spit Take,Destroy a Death Mist Spewer.,03 May 23,(10),17,1.72
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391533/wounded-whispers-achievement,Wounded Whispers,Collect your first grave lock.,03 May 23,(10),12,1.25
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391504/home-is-where-the-heart-is-achievement,Home Is Where the Heart Is,Unlock your first safehouse.,03 May 23,(10),12,1.22
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391509/ne-plus-ultra-achievement,Ne Plus Ultra,Loot your first unrivaled item.,03 May 23,(17),17,1.02
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391519/i-like-my-stakes-rare-achievement,I Like My Stakes Rare!,Stake your first vampire.,03 May 23,(10),10,1.01
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a355290/whats-yours-is-mine-achievement,What's Yours Is Mine,Opened a Sea Fort Treasury,22 Feb 23,(15),39,2.64
https://www.trueachievements.com/game/Disney-Dreamlight-Valley/achievements,https://www.trueachievements.com/a369650/chit-chatter-achievement,Chit Chatter,"Start 1,000 daily discussions",04 Feb 23,(50),295,5.9
https://www.trueachievements.com/game/Warhammer-40000-Darktide/achievements,https://www.trueachievements.com/a378503/circle-of-trust-iii-achievement,Circle of Trust III,Complete Path of Trust chapter 3.,17 Jan 23,(10),35,3.55
https://www.trueachievements.com/game/Katamari-Damacy-Reroll-Windows/achievements,https://www.trueachievements.com/a335229/king-of-katamari-damacy-achievement,King of Katamari Damacy,Rolled all items.,31 Dec 22,(190),943,4.96
https://www.trueachievements.com/game/Pupperazzi/achievements,https://www.trueachievements.com/a350714/city-explorer-achievement,City Explorer,Take a close-up dog photo at Muttropolis at every time of day.,21 Dec 22,(20),39,1.96
https://www.trueachievements.com/game/Pupperazzi/achievements,https://www.trueachievements.com/a350705/are-they-robots-achievement,Are they... Robots?,Take 20 photos of Humanorphs.,21 Dec 22,(50),86,1.73
https://www.trueachievements.com/game/Pupperazzi/achievements,https://www.trueachievements.com/a350709/experimentalist-achievement,Experimentalist,"Save 10 photos taken with both custom film & custom lens (any lens other than ""Starter"" or ""Basic"")",21 Dec 22,(50),88,1.76
